name,protein,fat,carbohydrates,sugar,sodium,calories,class,,
Apple,0.26,0.17,13.81,10.39,1.0,52.0,0,,
Med Apple,0.0,0.0,22.0,16.0,0.0,80.0,0,,
Medium Apple,0.5,0.3,25.0,19.0,2.0,95.0,0,,
Apple,0.0,0.0,13.0,11.0,0.0,50.0,0,,
Apple Fritter,4.0,14.0,41.0,0.0,0.0,300.0,0,,
Apple,0.0,0.0,22.0,17.0,0.0,80.0,0,,
Medium Apple,0.0,0.0,22.0,16.0,0.0,80.0,0,,
Apple Bread,3.0,7.0,33.0,0.0,0.0,200.0,0,,
Granny Smith Apple,0.0,0.0,22.0,16.0,0.0,80.0,0,,
Apple Slices,0.0,0.0,9.0,7.0,0.0,35.0,0,,
Granny Smith Apple,0.0,0.0,22.0,17.0,0.0,80.0,0,,
Red Apple Slices,0.0,0.0,19.0,15.0,0.0,70.0,0,,
Apple,0.0,0.0,22.0,17.0,0.0,80.0,0,,
100 % Apple Juice,0.0,0.0,21.0,18.0,5.0,90.0,0,,
Apple Straws,1.0,7.0,16.0,2.0,120.0,130.0,0,,
Apple,0.5,0.3,25.0,19.0,2.0,95.0,0,,
Apple,0.0,0.0,22.0,17.0,0.0,80.0,0,,
"Strudel, apple",3.3,11.2,41.1,25.75,135.0,274.0,0,,
Pink Lady Apple,0.36,0.23,19.06,14.34,1.0,72.0,0,,
Apple,0.0,0.0,22.0,16.0,0.0,80.0,0,,
Apple Pie,3.0,14.0,34.0,14.0,220.0,270.0,0,,
Apple,0.0,0.0,21.0,15.0,0.0,80.0,0,,
Apple,0.5,0.3,25.0,19.0,2.0,95.0,0,,
Apple,0.0,0.0,22.0,17.0,0.0,80.0,0,,
Apple,0.3,0.2,17.0,13.0,1.0,65.0,0,,
Apple,0.0,0.0,30.8,23.2,2.0,116.0,0,,
Apple,0.3396,0.2221,18.0406,13.5729,1.3063,67.93,0,,
Green (Medium Apple),0.0,0.0,22.0,17.0,0.0,80.0,0,,
Apple,0.0,0.0,22.0,16.0,0.0,80.0,0,,
Apple,0.0,0.3,25.0,19.0,2.0,95.0,0,,
Apple,0.0,0.0,22.0,16.0,0.0,80.0,0,,
Apple,0.0,0.0,22.0,16.0,0.0,80.0,0,,
Apple,0.5,0.3,25.0,19.0,2.0,95.0,0,,
12 Apple Slices Sams,0.0,0.0,19.0,0.0,0.0,70.0,0,,
Apple,0.0,0.0,21.0,16.0,0.0,80.0,0,,
Apple,0.5,0.3,25.0,19.0,2.0,95.0,0,,
"Croissants, apple",7.4,8.7,37.1,0.0,274.0,254.0,0,,
Apple,0.5,0.3,25.0,19.0,2.0,95.0,0,,
Braeburn Apple - 1 Medium,0.0,0.0,22.0,17.0,0.0,80.0,0,,
Medium Honey Crisp Apple,0.0,0.0,22.0,17.0,0.0,80.0,0,,
Apple Pecan Salad,19.0,18.0,28.0,21.0,1150.0,340.0,0,,
Apple Pie Baked in an Apple,2.0,13.0,32.0,13.0,170.0,250.0,0,,
