,category,text,rank
0,water,32 oz,3
1,sleep,4 hrs,1
2,workout,Nope - Wednesday day off,1
3,food,No value,Can't rate
4,stress,No value,1
5,food,No value,4
6,food,No value,Can't rate
7,food,No value,1
8,sleep,5.5,1
9,stress,stress free,4
10,food,not enough,3
11,food,no food,1
12,workout,yes,4
13,water,1 gallon,4
14,food,almost perfect,3
14,food,perfect,4
15,water,zero,1
16,water,a lot,4
17,sleep,3 hrs,1
18,stress,handled,2
19,stress,handled,1
20,stress,too much to handle,3
21,stress,in and out,3
22,food,on point,4
23,food,on point,4
24,food,on point,4
25,food,Cheated,3
26,food,,1
27,stress,alot on mind,2
28,food,4.  very healthy,4
29,sleep,7 hrs,3
30,food,shitty,1
31,food,No value,2
32,workout,work out,4
33,stress,Handled what was thrown,3
34,workout,workout,4
35,stress,Handled what was thrown,3
36,stress,Handled what was thrown,3
37,stress,stressed out.  Im a mess,1
38,stress,Handled what was thrown,3
39,stress,Overwhelmed,2
40,stress,Handled what was thrown,3
41,workout,No value,4
42,food,on point,1
43,stress,handled,3
44,food,no food,1
45,workout,good workout,4
46,workout,great workout,4
47,stress,handled what was thrown,3
48,stress,Handled what was thrown,3
49,stress,Handled what was thrown,3
50,stress,Handled what was thrown,3
51,stress,Handled what was thrown,3
52,food,ate pretty healthy,3
53,workout,Great. Boost.,4
54,stress,Handled what was thrown,3
55,water,64,4
56,food,Not even close,1
57,workout,Great workout ,4
58,food,Food so-so,2
59,workout,Great,4
60,stress,Handled what was thrown,3
61,workout,Good workout,4
62,stress,Handled what was thrown,3
63,stress,Handled what was thrown,3
64,water,a lot of water,4
65,workout,10 minute ab workout,2
66,food,so-so,2
67,workout,brutal,4
68,stress,Handled what was thrown,3
69,food,not great,2
70,food,just ok,2
71,workout,Great,4
72,stress,Handled what was thrown,3
73,sleep,6,2
74,sleep,less than 5,1
75,food,ate well,4
76,workout,yea,1
77,stress,hard day,3
78,sleep,almost 7,2
79,sleep,almost 7,3
80,stress,Handled what was thrown,3
81,food,almost perfect,3
82,sleep,8.5 whoop whoop,4
83,water,low on water,2
84,water,drinking lots of water,4
85,water,32,3
86,workout,yes,4
