,Food Name,Protein,Fat,Carbs,Sugar,Calories,cluster
0,"Beef, extract, bonox",16.6,0.2,6.5,0.0,92.575,green
1,"Basil, dried",18.2,5.5,15.5,0.0,180.425,green
2,"Cardamom, seeds, ground",10.8,6.7,40.5,9.5,255.375,yellow
3,Chilli (chili) powder,12.3,16.8,20.5,10.1,277.27500000000003,yellow
4,"Chilli (chili), dried, ground",14.1,16.8,29.6,10.4,318.6,yellow
5,"Cinnamon, dried, ground",4.2,2.7,25.5,13.8,136.725,green
6,"Cloves, dried, ground",0.6,17.3,30.8,2.7,273.6,yellow
7,"Coriander seed, dried, ground",1.3,19.8,10.5,8.8,222.775,yellow
8,"Cumin (cummin) seed, dried, ground",18.4,25.8,33.3,2.3,430.675,yellow
9,Curry powder,12.7,13.8,30.9,10.2,290.875,yellow
10,Fenugreek seed,2.3,6.4,33.8,24.2,193.54999999999998,green
11,"Ginger, dried, ground",8.5,4.6,58.6,0.9,295.15,yellow
12,"Herbs, mixed, dried",11.1,0.9,2.2,5.2,60.75,green
13,Mustard powder,29.4,39.5,17.2,0.5,537.6,yellow
14,"Nutmeg, dried, ground",6.4,37.6,27.5,14.9,467.12500000000006,yellow
15,"Oregano or marjoram, dried",0.9,4.3,26.4,4.1,141.3,green
16,"Paprika, dry powder",14.1,12.9,19.1,10.3,244.125,yellow
17,"Pepper, ground, black or white",10.7,2.7,42.1,0.6,224.975,yellow
18,"Rosemary, dried",9.5,16.7,18.9,18.1,259.17499999999995,yellow
19,"Sage, dried",10.6,12.8,20.4,1.7,234.1,yellow
20,"Salt substitute, potassium chloride",0.0,0.0,0.0,0.0,0.0,green
21,"Salt, cooking",0.0,0.0,0.0,0.0,0.0,green
22,"Salt, flavoured",0.0,0.0,0.0,0.0,0.0,green
23,"Salt, rock",0.0,0.0,0.0,0.0,0.0,green
24,"Salt, sea",0.0,0.0,0.0,0.0,0.0,green
25,"Salt, table, iodised",0.0,0.0,0.0,0.0,0.0,green
26,"Salt, table, non-iodised",0.0,0.0,0.0,0.0,0.0,green
27,"Salt, not further defined",0.0,0.0,0.0,0.0,0.0,green
28,"Seasoning mix, chilli-based, for tacos",5.9,4.1,39.7,19.2,209.375,green
29,"Spice, mixed or all spice",5.5,19.2,27.9,10.5,299.42499999999995,yellow
30,"Stock, dry powder or cube",11.3,8.9,22.5,4.3,209.675,green
31,"Stock, liquid, all flavours (except fish), prepared from commercial powder or cube",0.2,0.2,0.4,0.1,4.1,green
32,"Stock, liquid, all flavours (except fish), homemade from basic ingredients",2.3,0.8,0.0,0.0,16.4,green
33,"Stock, liquid, fish, commercial",0.7,0.1,0.6,0.4,5.949999999999999,green
34,"Stock, liquid, fish, homemade from basic ingredients",2.3,0.8,0.0,0.0,16.4,green
35,"Stock, dry powder or cube, reduced salt",11.3,8.9,22.5,4.3,209.675,green
36,"Stock, liquid, all flavours, reduced salt, prepared from commercial powder or cube",0.2,0.2,0.4,0.1,4.1,green
37,"Thyme, dried, ground",8.1,0.6,29.1,1.8,146.925,green
38,"Turmeric, dried, ground",7.7,8.6,46.3,25.1,281.825,yellow
39,"Baking powder, dry powder",0.0,0.1,20.8,0.0,78.9,green
40,"Baking soda (bicarbonate), dry powder",0.0,0.0,0.0,0.0,0.0,green
41,"Cream of tartar, dry powder",0.0,0.0,0.0,0.0,0.0,green
42,"Gelatine, all types",84.4,0.4,0.0,0.0,341.20000000000005,yellow
43,"Lecithin, soy, granules",0.6,62.4,4.9,4.4,582.375,yellow
44,"Vanilla, artificial",0.0,0.0,14.4,14.4,54.0,green
45,"Yeast, bakers, compressed",13.6,0.2,4.9,0.0,74.57499999999999,green
46,"Yeast, dry powder",36.4,0.5,6.3,0.0,173.725,green
47,Caffeine,0.0,0.0,0.0,0.0,0.0,green
48,Calcium,0.0,0.0,0.0,0.0,0.0,green
49,Fibre,0.0,0.0,0.0,0.0,0.0,green
50,Folic acid,0.0,0.0,0.0,0.0,0.0,green
51,Iodine,0.0,0.0,0.0,0.0,0.0,green
52,Maltodextrin,0.0,0.0,10.0,0.0,37.5,green
53,Oligosaccharide,0.0,0.0,10.0,0.0,37.5,green
54,Thiamin,0.0,0.0,0.0,0.0,0.0,green
55,Beta-carotene,0.0,0.0,0.0,0.0,0.0,green
56,Vitamin C,0.0,0.0,0.0,0.0,0.0,green
57,Vitamin E,0.0,0.0,0.0,0.0,0.0,green
58,"Beer, lager or ale style (alcohol 5% v/v & above)",0.4,0.0,1.4,0.0,6.85,green
59,"Beer, lager or ale style (alcohol 4.6% v/v)",0.3,0.0,0.2,0.1,1.95,green
60,"Beer, lager or ale style, mid strength (alcohol 3.5% v/v)",0.3,0.0,2.3,0.1,9.825,green
61,"Beer, lager or ale style, reduced alcohol or light beer (alcohol 2.5% v/v)",0.3,0.0,2.3,0.1,9.825,green
62,"Beer, flavoured (alcohol 4% v/v)",0.3,0.0,0.2,0.2,1.95,green
63,"Beer, home-brewed, full strength",0.5,0.0,0.2,0.2,2.75,green
64,"Beer, home-brewed, reduced alcohol, mid-strength, or light beer",0.5,0.0,2.2,0.1,10.25,green
65,"Beer, stout (alcohol 6% v/v)",0.6,0.0,0.3,0.1,3.525,green
66,"Beer, not further defined",0.3,0.0,0.2,0.1,1.95,green
67,Bitters,0.1,0.5,1.3,0.8,9.775,green
68,Brandy,0.0,0.0,0.3,0.3,1.125,green
69,"Brandy, cooked",0.0,0.0,0.3,0.3,1.125,green
70,Cointreau,0.0,0.0,2.4,2.4,9.0,green
71,"Cider, apple, alcoholic, draught style",0.0,0.0,4.4,4.4,16.5,green
72,"Cider, apple, alcoholic, dry style",0.0,0.0,3.1,3.1,11.625,green
73,"Cider, apple, alcoholic, sweet style",0.0,0.0,6.9,6.9,25.875,green
74,"Cider, apple, alcoholic, not further defined",0.0,0.0,4.6,4.6,17.25,green
75,"Cider, pear (perry), alcoholic",0.0,0.0,5.5,0.4,20.625,green
76,Ethanol 100%,0.0,0.0,0.0,0.0,0.0,green
77,Gin,0.0,0.0,0.0,0.0,0.0,green
78,"Liqueur, advocaat",4.2,5.8,24.4,24.4,160.5,green
79,"Liqueur, cream-based, coffee flavour",2.8,15.7,20.9,20.8,230.87499999999997,yellow
80,"Liqueur, cream-based, non-coffee flavours",2.9,16.2,21.5,21.4,238.02499999999998,yellow
81,"Liqueur, 25% v/v alcohol, not cream based",0.0,0.0,3.8,3.7,14.25,green
82,Mirin,0.4,0.0,44.5,39.8,168.475,green
83,Ouzo,0.0,0.0,0.1,0.1,0.375,green
84,Port,0.2,0.0,12.4,12.4,47.3,green
85,"Rum, dark & light coloured",0.0,0.0,0.0,0.0,0.0,green
86,"Sherry, dry style (~ 1% sugars)",0.1,0.0,1.2,1.2,4.9,green
87,"Sherry, sweet style (~11% sugars)",0.2,0.0,11.1,11.1,42.425,green
88,"Sherry, not further defined",0.2,0.0,7.1,7.1,27.425,green
89,Tequila,0.0,0.0,0.1,0.1,0.375,green
90,Vodka,0.0,0.0,0.1,0.1,0.375,green
91,Whisky or scotch,0.0,0.0,0.0,0.0,0.0,green
92,"Spirit, not further defined",0.1,0.4,2.6,2.6,13.75,green
93,"Cocktail, cream or milk based",1.2,8.1,2.9,2.9,88.57499999999999,green
94,"Cocktail, fruit juice based",0.2,0.2,3.5,3.5,15.725,green
95,"Cocktail, soft drink based",0.1,0.2,0.5,0.5,4.075,green
96,"Mixed drink, gin & tonic, commercial, pre-mixed",0.0,0.0,7.7,7.7,28.875,green
97,"Mixed drink, rum & cola, pre-mixed",0.0,0.0,9.2,9.2,34.5,green
98,"Mixed drink, spirit & energy drink",0.1,0.0,8.9,8.9,33.775,green
99,"Mixed drink, spirit & non-cola flavoured soft drink, home-mixed",0.0,0.0,8.2,8.2,30.749999999999996,green
100,"Mixed drink, spirit & soda, home-mixed",0.0,0.0,0.0,0.0,0.0,green
101,"Mixed drink, spirit & tonic, home-mixed",0.0,0.0,7.7,7.7,28.875,green
102,"Mixed drink, vodka & fruit juice, home-mixed",0.3,0.0,2.6,2.6,10.95,green
103,"Mixed drink, vodka & non-cola flavoured soft drink, commercial, pre-mixed",0.0,0.0,8.2,8.2,30.749999999999996,green
104,"Mixed drink, whisky or scotch & ice",0.0,0.0,0.0,0.0,0.0,green
105,"Mixed drink, whisky or scotch & regular cola, commercial, pre-mixed",0.0,0.0,9.2,9.2,34.5,green
106,"Mixed drink, whisky or scotch & regular cola, home-mixed",0.0,0.0,9.2,9.2,34.5,green
107,"Mixed drink, whisky or scotch & diet soft drink",0.0,0.0,0.0,0.0,0.0,green
108,"Mixed drink, whisky or scotch & dry, commercial, pre-mixed",0.0,0.0,8.6,8.6,32.25,green
109,"Mixed drink, wine & regular cola soft drink, home-mixed",0.1,0.0,5.2,5.2,19.9,green
110,"Wine cooler, wine & fruit juice blend, all flavours",0.1,0.0,7.6,7.6,28.9,green
111,"Wine, red",0.2,0.0,0.0,0.0,0.8,green
112,"Wine, red, reduced alcohol",0.2,0.0,0.0,0.0,0.8,green
113,"Wine, red, sparkling",0.2,0.0,0.2,0.2,1.55,green
114,"Wine, red, cooked",0.2,0.0,0.0,0.0,0.8,green
115,"Wine, rose",0.2,0.0,3.6,3.6,14.3,green
116,"Wine, white, dry style (sugars content < 1%)",0.2,0.0,0.3,0.3,1.925,green
117,"Wine, white, medium dry style (~ 1% sugars)",0.2,0.0,1.1,1.1,4.925,green
118,"Wine, white, medium sweet style (~ 2.5% sugars)",0.2,0.0,2.6,2.6,10.55,green
119,"Wine, white, reduced alcohol",0.2,0.0,1.1,1.1,4.925,green
120,"Wine, white, cooked",0.2,0.0,1.2,1.2,5.3,green
121,"Wine, white, not further defined",0.2,0.0,0.6,0.6,3.05,green
122,"Wine, white, sparkling",0.2,0.0,0.1,0.1,1.175,green
123,"Wine, white, sparkling, de-alcoholised",0.2,0.0,0.1,0.1,1.175,green
124,"Wine, white, sweet dessert style",0.2,0.0,1.0,1.0,4.55,green
125,"Wine, not further defined",0.2,0.0,0.4,0.4,2.3,green
